com.samsung.shealth.tracker.pedometer_step_count,2,,,,,,,,,
duration,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.end_time
60000,0,113,42:00.0,42:59.8,42:00.0,113,1.4093336,84.56002,4.519997,43:00.0
60000,0,115,43:00.0,43:59.6,43:00.4,115,1.4434996,86.60998,4.599997,44:00.0
20154,0,33,44:00.0,44:20.7,44:00.2,33,1.1957784,24.099989,1.3199998,45:00.0
30000,0,52,46:00.0,46:43.0,46:04.5,52,1.2866471,38.6,2.05,47:00.0
37463,0,65,29:00.0,30:24.9,30:24.9,65,1.2777778,47.87,2.58,30:00.0
60000,0,102,30:00.0,35:00.6,30:25.0,102,1.2543335,75.26001,4.079999,31:00.0
60000,0,116,31:00.0,35:00.6,35:00.6,116,1.4681666,88.09,4.64,32:00.0
50642,0,92,32:00.0,35:00.6,35:00.6,92,1.3611112,68.93,3.65,33:00.0
566,0,1,33:00.0,35:00.7,35:00.7,1,1.3055556,0.74,0.04,34:00.0
38296,0,65,35:00.0,49:21.8,49:21.8,65,1.25,47.87,2.55,36:00.0
23584,0,40,36:00.0,49:21.9,49:21.9,40,1.25,29.48,1.57,37:00.0
8902,0,16,46:00.0,49:22.0,49:22.0,16,1.3333334,11.87,0.61,47:00.0
47351,0,86,47:00.0,49:22.0,49:22.0,86,1.3611112,64.45,3.43,48:00.0
60000,0,116,48:00.0,49:22.0,49:22.0,116,1.4569999,87.42,4.64,49:00.0
12241,0,20,49:00.0,49:54.1,49:22.1,20,1.2065626,14.77,0.79,50:00.0
17423,0,32,50:00.0,50:59.3,50:44.4,32,1.3722688,23.91,1.27,51:00.0
40592,0,69,57:00.0,03:33.9,03:33.9,69,1.25,50.74,2.74,58:00.0
60000,0,109,58:00.0,03:34.0,03:34.0,109,1.3605,81.63,4.36,59:00.0
60000,0,110,59:00.0,03:34.1,03:34.1,110,1.3778332,82.67,4.4,00:00.0
60000,0,112,00:00.0,03:34.1,03:34.1,112,1.3931667,83.59,4.48,01:00.0
20008,0,37,01:00.0,03:34.2,03:34.2,37,1.3888888,27.79,1.47,02:00.0
8289,0,12,03:00.0,03:34.2,03:34.2,12,1.0277777,8.52,0.48,04:00.0
44445,0,82,09:00.0,10:22.6,10:22.6,82,1.3888888,61.73,3.25,10:00.0
60000,0,114,10:00.0,10:59.7,10:22.7,114,1.4351667,86.11,4.5599976,11:00.0
59681,0,106,11:00.0,11:59.8,11:00.3,106,1.3226856,78.939995,4.2399974,12:00.0
60000,0,118,12:00.0,13:54.7,12:00.4,118,1.4919996,89.51997,4.709998,13:00.0
60000,0,122,13:00.0,13:59.7,13:54.7,122,1.5668327,94.009964,4.8699994,14:00.0
60000,0,119,14:00.0,14:59.8,14:00.2,119,1.5169994,91.019966,4.749997,15:00.0
60000,0,120,15:00.0,16:00.0,15:00.2,120,1.5403326,92.41996,4.749997,16:00.0
60000,0,120,16:00.0,18:33.4,16:00.5,120,1.536167,92.17001,4.7999997,17:00.0
60000,0,124,17:00.0,18:33.5,18:33.5,124,1.603,96.18,4.94,18:00.0
60000,0,122,18:00.0,18:59.8,18:33.5,122,1.5598326,93.58996,4.849998,19:00.0
60000,0,123,19:00.0,21:28.0,19:00.5,123,1.5699996,94.199974,4.9099975,20:00.0
60000,0,124,20:00.0,21:28.1,21:28.1,124,1.5893334,95.36,4.96,21:00.0
60000,0,117,21:00.0,21:59.9,21:28.1,117,1.4779994,88.67996,4.6799974,22:00.0
60000,0,118,22:00.0,22:59.9,22:00.4,118,1.4938327,89.62997,4.719997,23:00.0
40910,0,76,23:00.0,24:28.0,23:00.5,76,1.3994044,57.250008,3.0299993,24:00.0
6393,0,11,24:00.0,24:28.0,24:28.0,11,1.2777778,8.17,0.44,25:00.0
4552,0,7,28:00.0,28:34.3,28:33.8,7,1.0872871,4.95,0.28,29:00.0
11034,0,18,59:00.0,00:50.1,00:50.1,18,1.1944444,13.18,0.71,00:00.0
20227,0,36,50:00.0,52:12.4,52:12.4,36,1.3333334,26.97,1.41,51:00.0
